"","sentence","date","year","month","day","filename"
"1","NEWSWEEK Persp Registered The Cargo Plane by RAYMOND Loos ANGELES—The decision of","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"2","Donald Nelson to authorize Henry J. Kaiser to build three giant cargo","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"3","planes in collaboration with Howard Hughes seems to make a good deal","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"4","of sense. The interest aroused by this news and by the long","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"5","and informative discussions that preceded it has done a great deal to","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"6","make people appreciate the value of large cargo-flying ships. The experi- mental","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"7","work now authorized will teach us all much that will be useful","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"8","in the war effort and in transportation after the war. It is","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"9","obvious that when an entirely new design is contemplated it takes time","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"10","to produce even experimental models. It is estimated by Mr. Kaiser and","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"11","Mr. Hughes that the three will not 15 months, the second in","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"12","20 months and the third in 25 months. If it is then","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"13","decided to put them into production, some months must elapse before they","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"14","roll off the line. The public has been informed from time to","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"15","time of quite understandable differences of opinion about the feasi- bility and","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"16","desirability of building this type of plane at this time. One of","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"17","the reasons for misunderstanding has been the fact that ideas as well","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"18","as specific plans have been continually changing throughout the period of discussion.","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"19","At all times, many complicated technical problems of management and engineer- ing","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"20","have been involved. After wide discussion in Washington and elsewhere, a meeting","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"21","was held here about four weeks ago between Mr. a WPB representative","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"22","and a committee of three leaders in the air- plane industry. This","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"23","committee was acting upon a suggestion of the WPB to talk the","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"24","matter over with Mr. Kaiser and to report on their findings and","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"25","con- clusions. No specific plan came out of the meeting. This was","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"26","not because the industry itself was lacking in a desire to cooperate.","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"27","It is the settled rule in the industry that any manufacturer will","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"28","make available any plans, engineering ideas, advice and technical personnel at his","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"29","disposal to any other manufacturer who actually has an order from the","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"30","government to build planes. At that time Mr. Kaiser had no such","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"31","order, and there was a good deal of uncertainty as to the","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"32","plane that was to be built and ro be finished for two","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"33","years—the first in Kaiser, SEPTEMBER 28, 1942 ective . S. Patent Office","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"34","Question the organization which was to do the building. In these circumstances,","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"35","it was urged that Mr. Kaiser give his unquestioned manufacturing ability to","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"36","the mass pro- duction of some model already designed. But it seems","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"37","that Mr. Kaiser thought it best to build a new plane. Leaders","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"38","of the industry pointed out the great outlay of time and the","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"39","requirements of MOLEY and labor needed for the development of an entirely","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"40","new model. It is said that in the automobile industry a new","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"41","model takes close to three years from the original idea to mass","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"42","production. Some- thing of the same effort is required in the case","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"43","of a new plane. To undertake critical materials, engineering personnel mass production","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"44","of a new plane would draw heavily upon the strained re- sources","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"45","of an already overburdened in- dustry. This apparently became clear not only","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"46","to the industry but to the various authorities in the government. There","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"47","is no disposition to deny that vastly bigger planes can be built","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"48","than any that now exist, or to deny that they will fly","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"49","and that*they will carry a lot of stuff. When a certain manufacturer","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"50","was asked how big a cargo plane could be built, his answer","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"51","was: “Just tell me how much land or water is available to","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"52","take off from or to land in.” Such ques- tions as this,","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"53","as well as the number and type of cargo planes that will","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
