"","word1","word2","date","year","month","day","filename"
"1","persp","registered","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"2","cargo","plane","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"3","loos","angeles","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"4","donald","nelson","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"5","authorize","henry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"6","giant","cargo","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"7","howard","hughes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"8","informative","discussions","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"9","cargo","flying","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"10","flying","ships","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"11","war","effort","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"12","takes","time","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"13","experimental","models","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"14","understandable","differences","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"15","specific","plans","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"16","continually","changing","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"17","complicated","technical","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"18","wide","discussion","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"19","weeks","ago","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"20","wpb","representative","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"21","airplane","industry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"22","specific","plan","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"23","settled","rule","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"24","plans","engineering","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"25","engineering","ideas","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"26","ideas","advice","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"27","technical","personnel","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"28","build","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"29","kaiser","september","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"30","september","ective","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"31","unquestioned","manufacturing","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"32","manufacturing","ability","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"33","mass","production","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"34","plane","leaders","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"35","automobile","industry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"36","model","takes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"37","takes","close","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"38","original","idea","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"39","undertake","critical","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"40","critical","materials","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
