"","index","filename","date","year","month","day"
"1",1,"Moley_newsweek_1942-09-28_20_13.txt","1942-09-28",1942,9,28
"2",2,"Moley_newsweek_1942-10-19_20_16.txt","1942-10-19",1942,10,19
"3",3,"Moley_newsweek_1942-11-16_20_20.txt","1942-11-16",1942,11,16
"4",4,"Moley_newsweek_1942-12-07_20_23.txt","1942-12-07",1942,12,7
"5",5,"Moley_newsweek_1956-08-13_48_7.txt","1956-08-13",1956,8,13
"6",6,"Moley_newsweek_1956-09-10_48_11.txt","1956-09-10",1956,9,10
"7",7,"Moley_newsweek_1956-10-22_48_17.txt","1956-10-22",1956,10,22
"8",8,"Moley_newsweek_1956-11-05_48_19.txt","1956-11-05",1956,11,5
"9",9,"Moley_newsweek_1956-12-10_48_24.txt","1956-12-10",1956,12,10
"10",10,"Moley_newsweek_1960-05-09_55_19.txt","1960-05-09",1960,5,9
"11",11,"Moley_newsweek_1960-06-06_55_23.txt","1960-06-06",1960,6,6
"12",12,"Moley_newsweek_1960-08-22_56_8.txt","1960-08-22",1960,8,22
"13",13,"Moley_newsweek_1960-09-26_56_13.txt","1960-09-26",1960,9,26
"14",14,"Moley_newsweek_1960-10-24_56_17.txt","1960-10-24",1960,10,24
"15",15,"Moley_newsweek_1960-11-21_56_21.txt","1960-11-21",1960,11,21
"16",16,"Moley_newsweek_1960-12-12_56_24.txt","1960-12-12",1960,12,12
"17",17,"Perspective_1948-12-06_sim_newsweek-us.txt","1948-12-06",1948,12,6
