"","bigram","n"
"1","republican   party",16
"2","labor   party",12
"3","federal   aid",10
"4","roll   calls",10
"5","afl   cio",8
"6","democratic   party",8
"7","federal   government",8
"8","national   committee",8
"9","vice   president",8
"10","labor   unions",7
"11","rural   electrification",6
"12","british   socialists",5
"13","class   struggle",5
"14","congressional   quarterly",5
"15","potential   voters",5
"16","remain   due",5
"17","republican   candidates",5
"18","social   security",5
"19","adlai   stevenson",4
"20","association   pressure",4
