"","value","year","filename"
"1","NEWSWEEK Persp Registered The Cargo Plane by RAYMOND Loos ANGELES—The decision of Donald Nelson to authorize Henry J. Kaiser to build three giant cargo planes in collaboration with Howard Hughes seems to make a good deal of sense. The interest aroused by this news and by the long and informative discussions that preceded it has done a great deal to make people appreciate the value of large cargoflying ships. The experi mental work now authorized will teach us all much that will be useful in the war effort and in transportation after the war. It is obvious that when an entirely new design is contemplated it takes time to produce even experimental models. It is estimated by Mr. Kaiser and Mr. Hughes that the three will not 15 months, the second in 20 months and the third in 25 months. If it is then decided to put them into production, some months must elapse before they roll off the line. The public has been informed from time to time of quite understandable differences of opinion about the feasi bility and desirability of building this type of plane at this time. One of the reasons for misunderstanding has been the fact that ideas as well as specific plans have been continually changing throughout the period of discussion. At all times, many complicated technical problems of management and engineer ing have been involved. After wide discussion in Washington and elsewhere, a meeting was held here about four weeks ago between Mr. a WPB representative and a committee of three leaders in the air plane industry. This committee was acting upon a suggestion of the WPB to talk the matter over with Mr. Kaiser and to report on their findings and con clusions. No specific plan came out of the meeting. This was not because the industry itself was lacking in a desire to cooperate. It is the settled rule in the industry that any manufacturer will make available any plans, engineering ideas, advice and technical personnel at his disposal to any other manufacturer who actually has an order from the government to build planes. At that time Mr. Kaiser had no such order, and there was a good deal of uncertainty as to the plane that was to be built and ro be finished for two years—the first in Kaiser, SEPTEMBER 28, 1942 ective . S. Patent Office Question the organization which was to do the building. In these circumstances, it was urged that Mr. Kaiser give his unquestioned manufacturing ability to the mass pro duction of some model already designed. But it seems that Mr. Kaiser thought it best to build a new plane. Leaders of the industry pointed out the great outlay of time and the requirements of MOLEY and labor needed for the development of an entirely new model. It is said that in the automobile industry a new model takes close to three years from the original idea to mass production. Some thing of the same effort is required in the case of a new plane. To undertake critical materials, engineering personnel mass production of a new plane would draw heavily upon the strained re sources of an already overburdened in dustry. This apparently became clear not only to the industry but to the various authorities in the government. There is no disposition to deny that vastly bigger planes can be built than any that now exist, or to deny that they will fly and that*they will carry a lot of stuff. When a certain manufacturer was asked how big a cargo plane could be built, his answer was: “Just tell me how much land or water is available to take off from or to land in.” Such ques tions as this, as well as the number and type of cargo planes that will be needed, are matters of strategy to be decided by the Army and the Navy. There is no reason now to assume that this war will have to be fought with the exact types of plane already in production. But it does seem likely that whatever is new or startling in the planes that will come off the production line for some time to come will be a modification and improvement of basic designs that now exist. “Leaders in the industry here and elsewhere have been stressing the im portance of carriers for a long time, and point to the number of excellent cargo planes already in production. The cam paign of Mr. Kaiser has heavily under scored their importance. He can have the immense satisfaction of knowing that he has directed the nation’s atten tion to the value of large carriers. Everyone will wish him well in his new project.",1942,"sim_newsweek-us_1942-09-28_20_13.txt"
"2","? NEWSWEEK Perspective U. S, Three Governorships by RAYMOND As we come to midOctober, two political conclusions are clear. One is a drift toward Republican candidates; the other is a prospective small vote. These two signs may or may not have something in common. My impression is that they are not related. The small vote will come from many contributing causes. First, a lot of people are in the Army and Navy. Second, a lot .more are too busy to think about politics. : An election is a sort of little war, and many vote merely to participate in a contest. Now a real war captures the spirit of contention in people. A great many people have moved because of their employment, and while a lot of these still have the technical qualifications for voting, they are in strange surroundings and the normal political pressures on them are gone. Many: thousands have moved from rural districts to cities and know little of urban registration.rules, These perfectly clear causes, , with, a number of additional ones, will account for a light vote. It is unnecessary to characterize it as apathy. The Republican drift is unmistakable (see Periscope Preview) . Vast numbers of people.are. dissatisfied with the con duct of the war at home and abroad. The rubber debacle alone will lose the Administration countless votes. The President’s scolding of farmers has made no new city and labor votes but has lost him thousands in agri cultural regions. The New Deal has led people to expect so much that they tend to blame it for every discomfort. In this off year, gubernatorial cam ‘paigns are indicative of the trend. Within the month I have made some firsthand study in three widely sepa rated states—New York, Kansas and California. In New York, a curious mixup in party behavior is evident already. Bennett, who is a pretty un inspiring candidate despite the popu larity of his manager Farley, is stronger in upstate Republican New York than any candidate in years but weaker in the big city. As things look now, Dewey may come close to the un precedented feat of carrying the city as a Republican. This creates an em barrassment of sorts for both Dewey and Bennett. Dewey cannot attack the Roosevelt Administration vigorously for fear of losing the city. Bennett cannot . OCTOBER Patent Office MOLEY 1 talk much about the President for teal of losing support upstate. But Dewey | can afford to coast because, if the pol are correct, nothing short of the com. | mission of homicide or arson could lose him the election. Kansas is interesting this year. The Republicans had a spirited primary contest. Senator Reed tried for the Republican nomination for governor on a crackdownonlabor platform. He ran third. Aridrew Schoeppel, a cleancut and respected lawyer. froma. small city { in Western Kahsas, won. He is opposed | 4 by William Burke, who has held various. appointive offices from Washington an q who ran and lost in 1940. It looks li an easy victory for Schoeppel. a There is real color in the Californ fight. Olson was elected in1988 by a” most indiscriminate collection of rceg! “h —hamandeggers, labor, New Dealers, Sinclairites, single taxers and socialists, No one could~satisfy such a motley: following, and Olson has had a riotous” time for four years. His opponent, Earl” Warren, now Attorney General, im 4 presses those who know him as a man’? of unique integrity and steadiness. He” was unopposed in i the Republican pri | mary, and in the Democratic primary he ran Olson a rather close race. ~*~ 4a The sole appeal of Olson is his | devotion to the President. He made hay * when the Pregident visited California. | According to the announcement of the 4 Democratic Committee of Los Olson stuck to the distinguished visitor’ like a burr.in the mane of a lion. He was in the automobile with the Presi | dent as they toured the plants in Los | Angeles and San Diego and visited | naval and marine establishments. They also visited an old mission. One cannot help speculating upon the meditations. of the two. as they contemplated the venerable beauty of San Juan Capis ; trano. Surely their thoughts were far from the political campaign. Perhaps the President’s visit has saved Olson, ‘ but late reports still favor Warren. The election of Warren and Dewey | in the two big states on opposite sides | ‘of the country would be a considerable | return toward a political balance in ‘ this country, especially since there stretches between them an almost un | cite ay olan apap ak. governors now in office.",1942,"sim_newsweek-us_1942-10-19_20_16.txt"
"3","lationist,” however, House lowest opposition leaders Office Willkie Rep. isolationist was was of the war effort and is liked trusted by most Republican leaders. Will the country be more conserva Yes, well on into the postwar The men thrown into the lime are, in the main, middleofthe steady people. A lot of extremists coattail riders went down. This is not a flash in the pan. It a change in the national temper some time to come. What about Jim Farley’s future? An of the vote in the various shows that the defeat of his in New York can be ascribed to upturn against the Adminis Throughout the nation, Farley continue to be respected and sup by conservative Democrats, and may possibly see them seriously for the control of the party. Will the war effort be more vigorous prosecuted? Yes. The tonic effect of election will put zest into the in Congress, into industrial generally, and into the small and agricultural areas. Labor also and publicans, the of James whom league, office election Congress winning himself. the over. an. feuding ing,” Christian does the party, alike burden onstrate, Herald will be less confident of their The desire to win the war will, Public morale will be better be the people have taken over the of moralebuilding themselves. its the wholeheartedly tions to they tory where. Is this all due to protest against the effort of the Administration? No. in part. It is the continuation of undercurrent that began in some sections of the Middle West as as 1936. It has grown in every since, until, as a result of this . Republican governors will hold in states with approximately three of the population of the nation minority as have greatly increased representa in Congress. This tide is not likely recede for a considerable time and it well go much farther. full the as play ties halted.” mand W. What about straw votes? Polls may useful in pointing out trends. But more accurate preelection polls the by the less value they have as because voters are influenced Mayor cratic man them. The best commentators still it necessary to travel, to talk with reelect Albert Nash the Raymond observers on the spot and consider generally how current hap are likely to affect voters. Poli is still an art, not a science. & appeared NEWSWEEK and both were reelected. Fish, goes to his thirteenth term in the by the scant margin of 4,062 votes, of his career. He won despite the of President Roosevelt and of his own party—Wendell L. and Gov.elect Thomas E. Dewey. Clare E. Hoffman, an outstanding before Dec. 7, whose defeat earnestly desired by the New Deal, reelected in Michigan. But prePearl Harbor interventionists fared well—Gov. Harold E. Stassen Sen. Joseph H. Ball, Minnesota Re who were attacked bitterly in primary campaigns for their support Mr. Roosevelt before Dec. 7, and Sen. E. Murray, Montana Democrat, Sen. Burton K. Wheeler, his col had accused of “trying to ride into on the coattails of war fever.” President Roosevelt’s comment on the was brief: he assumed the new would be as much in favor of the war as the Chief Executive He was expressing only part of consensus of commentators the country The mandate, it was agreed, was for end to inefficiency and bureaucratic in Washington. “It will be surpris wrote Roscoe Drummond in The Science Monitor, “if the election not have a emaabeneng effect upon Administration.” As for its effect upon the Republican } commentators and GOP leaders © called upon the party to realize the of victory: let the party now dem said the Republican New York Tribune, “that it has learned by blunders, and possesses the ability and bravery to support the war effort and to place in key posi men sufficiently wise and farseeing take command in a national crisis. If do not give this proof . . . their vic will be an empty success leading no If they live up to their opportuni leader. Announcing his retirement GOP National Chairman to give his time to Congressional duties, he said Republicans would “devote themselves Americans to winning the war and not politics.” their to power cannot be The attitude of the Republican com was set forth soberly by Rep. Joseph Martin Jr. of Massachusetts, House There were three outstanding defeats in elections aside from the beatings taken candidates. The powerful machine of Frank Hague of Jersey City, Demo boss of New Jersey and a vice chair of the National Committee, failed to Sen. William H. Smathers over W. Hawkes, Republican. The Kelly machine of Chicago was trounced by victory of Senator Brooks over Rep. S. McKeough. And Democrats march likely to quarrel through 1944",1942,"sim_newsweek-us_1942-11-16_20_20.txt"
"4","showrooms, you must wait until victory enjoy this superlative instrument. end by buying War Bonds! needs But you can prepare for the war's earlier your investment, Your country and you will building soundly for the future, when may want to purchase a home, a car, television set, or a Capehart. Your Capehart dealer also offers counsel on other musical requirements the selection of a piano, an organ, instruments, sheet music, recordings. Capehart Division of the Farnsworth vision & Radio Corporation, Ft. Wayne, FARNSWORTH REPRODUCTION —™TELEVISION to be you a you . . . band The Tele Ind. “The Engulfed Cathedral,” by Claude Debussy, painted for the Capehart Col lection by Raymond Breinin. This im pressionistic tonepoem tells the ancient Breton legend of the cathedral that rises from the sea. © Reprints of previous paintings are now available from your Capehart dealer at a modest charge. Or write to Capehart. © Capehart Early Georgian (illustrated below) with the timeproved record changer that turns the records over. Equipped for FM radio,",1942,"sim_newsweek-us_1942-11-16_20_20.txt"
"5","NEWSWEEK Persp ective Registered + Wanted—Two by RAYMOND Both major parties are faced with the job of selecting a new chairman. The Republican National Committee meets on Dec. 7 to choose a successor to Joseph Martin Jr., who has served since 1940. No date has as yet been set for a Democratic Committee meeting, but those who follow politics closely look for its announcement within a month or so, when Edward J. Flynn, the present Democratic chairman, is expected to resign. With the restoration of a close balance in party strength, the choice of a new chairman in each case is not unim portant. In fact, it may provide some clue to the political events of 1944. In the Democratic party the Presi dent will dictate the decision. His problem will be only to make a selection from the rather scanty list of possibili ties. But these facts are, of themselves, meaningful symptoms of the party organization’s state of health. It can hardly be said that there are any active candidates for the chairman’s job in the Democratic party. Post master General Frank Walker might be drafted by the President, but he would _accept only with the greatest reluctance. Leo Crowley, Alien Property Custodian, is most frequently mentioned. Joseph E. Davies, former Ambassador to Moscow, and John W. McCormack, majority leader of the House, are possibilities. None stirs much enthusiasm. It will be many a day before another Farley is found. The bloom is simply off the job. Not much patronage remains to be given out, and the New Deal inner circle provides what political counsel the President needs. The fight for the chairmanship in the Republican party, on the other hand, suggests the vigor of the party’s hopes. So does the fact that so many prospective Presidential candidacies are in evidence. The GOP is feeling the oats of the November victory. Party insiders say the new chairman must be experienced in politics and must come from the Midwest or West. Circum stances may alter these specifications, but now they seem pretty important. Most frequently mentioned is Werner W. Schroeder, national committeeman DECEMBER 7,'""1942 S. Patent Office Chairmen MOLEY of Illinois, who, since 1940, has presided over a sort of renaissance of Republican ism in his state. He is pretty violently opposed by Willkie friends, however, because they say he is too close to the McCormickBrooks people. This opposi tion may turn the choice elsewhere. There is a strong call for Alf M. Landon, who is reluctant to serve. Other possibilities are national committeemen Harrison E. Spangler of Iowa, Ralph H. Cake of Oregon and Sinclair Weeks of Massachusetts. Likewise John Hollister of Ohio, former congressman and law partner of Senator Taft. The chances that the committee will go completely outside the party organization to select some wellknown businessman are ex ceedingly slim. After an insistent demand by Mr. Willkie a statement on foreign affairs was adopted at the April meeting of the Republican National Committee. This time there is little demand for statements of party policy. That is fortunate because the making of any resolution on national policy by the national committee is an impropriety. It has no legal power to bind the party. The convention, does that. The com mittee’s job is to keep the national party alive between Presidential cam paigns, to prepare for the convention and the campaign, to raise money, to conduct research on national affairs and to maintain contact with state and local organizations. Mr. Willkie’s influence in the forth coming meeting will be of some im portance. But it will not be decisive. The 1940 candidate will, it is said, con trol not over a quarter of the 106 members. The rift between him and the ‘ party organization is now pretty deep. But arguments among Republicans, while troublesome, are not signs of weakness. In 1920 the Republican party emerged from years of internal conflict to win the election. In 19382, though the preconvention fight of the Democrats was bitter, they carried through tri umphantly. The real test of the Re publican party will be the performance of its 22 governors, it 209 members of the House and its $8 senators, not what its members say about each other.",1942,"sim_newsweek-us_1942-12-07_20_23.txt"
"6","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"7","Outlaw American Communism",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"8","by RAYMOND MOLEY",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"9","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"10","SAN FRANCISCO—Since the days",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
