"","word1","word2","n"
"1","federal","government",23
"2","republican","party",23
"3","democratic","party",18
"4","vice","president",17
"5","federal","aid",15
"6","supreme","court",13
"7","labor","party",11
"8","roll","calls",11
"9","national","committee",10
"10","foreign","affairs",8
"11","labor","unions",8
"12","white","house",8
"13","american","people",7
"14","common","sense",7
"15","election","day",6
"16","fair","deal",6
"17","foreign","policy",6
"18","los","angeles",6
"19","party","organization",6
"20","presi","dent",6
"21","soil","bank",6
"22","tafthartley","act",6
"23","txt","file",6
"24","upper","colorado",6
"25","world","war",6
"26","adlai","stevenson",5
"27","assembly","line",5
"28","congressional","quarterly",5
"29","conservative","democrats",5
"30","government","operations",5
"31","grand","jury",5
"32","major","factor",5
"33","minor","overlaps",5
"34","national","product",5
"35","national","security",5
"36","president","eisenhower",5
"37","president","truman",5
"38","remain","due",5
"39","republican","candidates",5
"40","righttowork","laws",5
"41","war","effort",5
"42","weeks","ago",5
"43","aflcio","committee",4
"44","american","industry",4
"45","bricker","amendment",4
"46","chief","justice",4
"47","foreign","relations",4
"48","health","service",4
"49","herbert","hoover",4
"50","income","taxes",4
"51","individual","enterprise",4
"52","majority","leader",4
"53","mass","base",4
"54","overlapping","text",4
"55","press","conference",4
"56","private","investors",4
"57","purchasing","power",4
"58","raw","materials",4
"59","red","china",4
"60","senate","debate",4
"61","senator","taft",4
"62","social","reform",4
"63","south","carolina",4
"64","unemployment","compensation",4
"65","wage","earners",4
"66","additional","payments",3
"67","al","smith",3
"68","american","companies",3
"69","armistice","day",3
"70","army","engineers",3
"71","assistant","secretary",3
"72","atomic","energy",3
"73","british","conservatives",3
"74","british","politics",3
"75","british","socialists",3
"76","british","theaters",3
"77","budget","director",3
"78","cam","paign",3
"79","cargo","planes",3
"80","cent","rate",3
"81","chairman","hall",3
"82","class","struggle",3
"83","colorado","project",3
"84","colorado","storage",3
"85","column","separation",3
"86","communist","issue",3
"87","congressional","record",3
"88","death","resignation",3
"89","demo","crats",3
"90","democratic","candidate",3
"91","democratic","candidates",3
"92","democratic","majority",3
"93","democratic","votes",3
"94","department","bureaucracy",3
"95","dog","days",3
"96","economic","issues",3
"97","eisenhower","administration",3
"98","elec","tion",3
"99","electric","power",3
"100","executive","agreements",3
"101","farm","program",3
"102","federal","bureaucracy",3
"103","federal","power",3
"104","feed","grains",3
"105","friends","abroad",3
"106","greatly","increased",3
"107","hoover","commission",3
"108","hyster","industrial",3
"109","industrial","trucks",3
"110","interior","department",3
"111","international","public",3
"112","judge","bryan",3
"113","la","guardia",3
"114","labor","bill",3
"115","labor","bosses",3
"116","liberal","party",3
"117","local","level",3
"118","lord","woolton",3
"119","ma","jority",3
"120","mass","production",3
"121","minor","formatting",3
"122","national","affairs",3
"123","national","income",3
"124","national","policy",3
"125","nuclear","physics",3
"126","party","lines",3
"127","party","philosophy",3
"128","perfectly","separating",3
"129","plain","text",3
"130","political","activity",3
"131","political","education",3
"132","political","parties",3
"133","potential","voters",3
"134","president","roosevelt",3
"135","prime","minister",3
"136","private","industry",3
"137","private","insurance",3
"138","provided","formatted",3
"139","public","policy",3
"140","public","relations",3
"141","reorganization","act",3
"142","republican","advance",3
"143","republican","national",3
"144","republican","votes",3
"145","righttowork","issue",3
"146","roman","catholic",3
"147","rural","electrification",3
"148","savings","bonds",3
"149","school","construction",3
"150","senate","committee",3
"151","senator","schoeppel",3
"152","sheldon","glueck",3
"153","social","security",3
"154","soil","conservation",3
"155","soviet","russia",3
"156","stock","ownership",3
"157","task","forces",3
