"","bigram","n"
"1","federal  government",23
"2","republican  party",23
"3","democratic  party",18
"4","vice  president",17
"5","federal  aid",15
"6","supreme  court",13
"7","labor  party",11
"8","roll  calls",11
"9","national  committee",10
"10","foreign  affairs",8
"11","labor  unions",8
"12","white  house",8
"13","american  people",7
"14","common  sense",7
"15","election  day",6
"16","fair  deal",6
"17","foreign  policy",6
"18","los  angeles",6
"19","party  organization",6
"20","presi  dent",6
